date_game,ranker,game_season,age,team_id,game_location,opp_id,net_score,win_loss,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1988-11-04,1,1,41.55,LAL,away,DAL,+3,W ,1,23:00,3,10,.300,0,0,,3,4,.750,2,1,3,0,1,0,2,3,9,2.3,
1988-11-05,2,2,41.56,LAL,away,SAS,-15,L ,1,31:00,5,7,.714,0,0,,6,8,.750,1,11,12,2,1,1,5,3,16,13.2,
1988-11-08,3,3,41.56,LAL,away,GSW,+12,W ,1,21:00,3,8,.375,0,0,,0,0,,0,5,5,0,0,0,2,2,6,0.3,
1988-11-09,4,4,41.56,LAL,home,DEN,+18,W ,1,18:00,3,4,.750,0,0,,0,0,,0,2,2,0,0,2,1,1,6,5.0,
1988-11-11,5,5,41.56,LAL,home,SEA,+11,W ,1,25:00,2,7,.286,0,0,,0,0,,1,3,4,3,0,0,2,1,4,1.2,
1988-11-15,6,6,41.57,LAL,away,DEN,+2,W ,1,20:00,3,11,.273,0,0,,2,2,1.000,2,5,7,2,0,1,1,2,8,4.7,
1988-11-17,7,7,41.59,LAL,away,SEA,-3,L ,1,26:00,1,3,.333,0,0,,0,0,,0,6,6,2,0,1,2,1,2,1.8,
1988-11-18,8,8,41.59,LAL,home,POR,+1,W ,1,30:00,3,7,.429,0,0,,2,2,1.000,0,8,8,2,1,1,1,3,8,7.6,
1988-11-22,9,9,41.6,LAL,away,NYK,+12,W ,1,30:00,5,13,.385,0,1,.000,2,2,1.000,4,2,6,3,1,0,1,4,12,8.8,
1988-11-26,10,10,41.61,LAL,away,DET,-3,L ,1,24:00,7,10,.700,0,0,,0,0,,1,0,1,1,0,0,0,2,14,10.4,
1988-11-28,11,11,41.62,LAL,away,PHI,+5,W ,1,31:00,6,15,.400,0,0,,1,1,1.000,0,2,2,1,1,3,0,3,13,8.1,
1988-12-13,12,12,41.66,LAL,away,CLE,+9,W ,1,17:00,2,6,.333,0,0,,2,2,1.000,0,1,1,2,1,0,0,1,6,4.9,
1988-12-14,13,13,41.66,LAL,away,NJN,-5,L ,1,28:00,1,7,.143,0,0,,3,4,.750,0,2,2,1,0,0,0,2,5,0.6,
