,name,position,height,weight,experience,country
0,Alaa Abdelnaby,Power Forward,208,108,5,Egypt
1,Zaid Abdul-Aziz,Center and Power Forward,206,106,10,New York
2,Kareem Abdul-Jabbar,Center,218,102,20,New York
3,Mahmoud Abdul-Rauf,Point Guard,185,73,9,Mississippi
4,Tariq Abdul-Wahad,Shooting Guard,198,101,6,France
5,Shareef Abdur-Rahim,Power Forward,206,102,12,Georgia
6,Tom Abernethy,Small Forward and Power Forward,201,99,5,Indiana
7,Forest Able,Guard,190,81,1,
8,John Abramovic,Forward,190,88,2,Pennsylvania
9,Álex Abrines,Shooting Guard,198,90,3,Spain
10,Precious Achiuwa,Power Forward,203,102,0,Nigeria
11,Alex Acker,Shooting Guard,196,83,2,California
12,Don Ackerman,Point Guard,183,83,1,New York
13,Mark Acres,Center,211,99,6,California
14,Bud Acton,Small Forward,198,95,1,
15,Quincy Acy,Power Forward and Small Forward,201,108,7,Texas
16,Alvan Adams,Center and Power Forward,206,95,13,Kansas
17,Don Adams,Small Forward,198,95,7,Georgia
18,George Adams,Small Forward,196,95,3,North Carolina
19,Hassan Adams,Shooting Guard,193,99,2,California
20,Jaylen Adams,Point Guard,183,102,2,Maryland
21,Jordan Adams,Shooting Guard,196,94,2,Georgia
22,Michael Adams,Point Guard,178,73,11,Connecticut
23,Steven Adams,Center,211,120,7,New Zealand
24,Rafael Addison,Small Forward,201,97,6,New Jersey
25,Bam Adebayo,Center and Power Forward,206,115,3,New Jersey
26,Deng Adel,Small Forward,201,90,1,South Sudan
27,Rick Adelman,Point Guard,185,79,7,California
28,Jeff Adrien,Power Forward,201,111,5,Massachusetts
29,Arron Afflalo,Shooting Guard and Small Forward,196,95,11,California
30,Maurice Ager,Shooting Guard,196,91,4,Michigan
31,Mark Aguirre,Small Forward,198,105,13,Illinois
32,Blake Ahearn,Point Guard,188,86,3,Missouri
33,Danny Ainge,Shooting Guard and Point Guard,193,79,14,Oregon
34,Matthew Aitch,Power Forward,201,104,1,Missouri
